timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1655463600,-88.56255216,-69.99234375,-61.550988375900005,-20.178250214400002,-21.9040876656,-24.9234743079,-296.4777642876,-258.3505234236,-23.1023832231,-21.6164720124,-162.76914356790002,-453.75101271
1655467200,-90.2746870896,-72.0894674556,-62.6006495775,-21.9040876656,-21.6164720124,-24.9234743079,-300.5588489436,-259.46898159,-23.1023832231,-21.9040876656,-164.5134220656,-417.4666689756
1655470800,-92.4143713311,-74.5195805775,-63.650182131899996,-22.766877212399997,-21.6164720124,-25.2588965916,-305.7036450975,-260.2145353116,-23.1023832231,-21.9040876656,-166.2573366831,-396.69640896
1655474400,-94.12573118790002,-77.3300253936,-65.0811555639,-22.766877212399997,-21.6164720124,-25.54639104,-311.2619028975,-261.33273831,-23.1023832231,-21.9040876656,-168.3307074375,-392.6641166784
1655478000,-96.59708727510001,-80.47281639,-66.4642024896,-23.1023832231,-21.6164720124,-25.8338759196,-316.7700620736,-262.0781219196,-23.1023832231,-21.9040876656,-169.36719984389998,-393.7640368896
1655481600,-99.7327734375,-84.3282956271,-67.8947054556,-22.766877212399997,-21.6164720124,-26.1692628519,-322.69060295040003,-262.0781219196,-23.1023832231,-21.9040876656,-172.14624889560002,-398.16218672639997
1655485200,-102.5349066876,-87.5160779004,-69.61099324439999,-23.1023832231,-21.6164720124,-26.4567269991,-327.8212962879,-260.2145353116,-23.1023832231,-21.6164720124,-173.5118829975,-399.2613414336
1655488800,-105.6684,-91.36837072709999,-71.04096992640001,-23.7254312604,-21.6164720124,-26.792089743600002,-332.6254607439,-256.5327023679,-22.766877212399997,-21.6164720124,-174.9243726975,-396.3299219904
1655492400,-109.1803338396,-94.5059865975,-72.8042783751,-24.0129767424,-21.3288467904,-27.3669670044,-336.2728566396,-250.93687107990002,-22.766877212399997,-21.6164720124,-175.5834526911,-389.77609769910003
1655496000,-111.9793463319,-97.9750313724,-74.1860765724,-24.3005126556,-21.3288467904,-27.3669670044,-338.11900676759996,-244.59030190709998,-22.766877212399997,-21.3288467904,-175.5834526911,-382.4367044511
1655499600,-115.10934862709999,-100.7777448639,-75.5676512319,-24.6359591271,-21.3288467904,-27.7022943975,-339.22649271,-238.2388164975,-23.1023832231,-21.3288467904,-175.96004643990003,-375.5039109564
1655503200,-117.90640084440001,-103.57953310559999,-77.3300253936,-25.2588965916,-21.3288467904,-27.7022943975,-339.9647316156,-232.9577399484,-23.1023832231,-21.3288467904,-176.2895520156,-369.3005868279
1655506800,-120.70252781190001,-106.04813869440001,-78.7587102876,-25.54639104,-21.3288467904,-27.9897075111,-339.9647316156,-227.6732693991,-23.1023832231,-21.6164720124,-176.2895520156,-363.78245419589996
1655510400,-122.0765561436,-107.09233239,-79.4253480384,-25.8338759196,-21.3288467904,-28.325010716399998,-339.22649271,-223.92999933509998,-23.3899494375,-21.3288467904,-176.2895520156,-358.67477382239997
1655514000,-124.5397713084,-109.8920348991,-80.8536820764,-26.1692628519,-21.9040876656,-28.6124030976,-338.85734774040003,-218.87388634709998,-23.3899494375,-21.3288467904,-175.96004643990003,-354.6231142896
1655517600,-126.6234689244,-111.26782070040001,-82.23417758789999,-26.4567269991,-21.9040876656,-28.9476821151,-337.74981076439997,-215.59512014310002,-23.3899494375,-21.6164720124,-175.96004643990003,-350.9840756775
1655521200,-128.3752708911,-113.0228090775,-83.28130093109999,-27.0795331584,-22.19169375,-29.5224158439,-336.64212068759997,-212.3150515191,-23.7254312604,-21.6164720124,-175.5834526911,-347.2972827975
1655524800,-130.0793775975,-114.7774335744,-84.3282956271,-27.3669670044,-22.4792902656,-30.145000857600003,-335.53427751,-209.3618761884,-23.7254312604,-21.6164720124,-175.5834526911,-344.7155156151
1655528400,-131.4992033775,-116.4842865264,-85.3751616759,-27.9897075111,-22.766877212399997,-30.4802203359,-334.79563033560004,-207.0642326871,-23.7254312604,-21.6164720124,-175.5834526911,-342.91700679
1655532000,-133.24999238040002,-117.52719375,-86.4694749936,-28.6124030976,-23.1023832231,-31.0548519975,-334.79563033560004,-205.09431602790002,-24.0129767424,-21.6164720124,-175.5834526911,-341.8100311836
1655535600,-134.29082955360002,-118.94913264,-87.5160779004,-29.235053763899998,-23.1023832231,-32.0124863775,-334.4262812316,-204.1091818716,-24.3005126556,-21.6164720124,-176.2895520156,-342.5480319324
1655539200,-135.3315380796,-120.3234461751,-88.56255216,-29.85765951,-23.3899494375,-32.5870159719,-334.79563033560004,-205.7510070111,-24.6359591271,-21.9040876656,-176.99559153509998,-347.2972827975
1655542800,-136.3721179584,-121.7449145991,-89.6088977724,-30.4802203359,-23.3899494375,-33.20937984,-337.0113677244,-211.00265939189998,-24.9234743079,-21.9040876656,-178.7368999836,-358.67477382239997
1655546400,-138.1218939975,-123.8293022319,-90.6551147376,-31.0548519975,-23.3899494375,-26.792089743600002,-340.70290247639997,-218.87388634709998,-22.4792902656,-21.6164720124,-179.7721000704,-370.03604865510005
1655550000,-140.8640538879,-126.6234689244,-91.70120305559999,-31.3900361244,-23.1023832231,-23.7254312604,-345.0843905319,-228.0475028439,-21.9040876656,-21.0412119996,-181.8421143024,-389.04246457589994
1655553600,-143.3217818775,-130.0793775975,-93.0799410975,-31.6773264384,-23.1023832231,-23.7254312604,-349.5095626599,-234.82753564439997,-22.19169375,-21.0412119996,-183.20616051509998,-400.7266428864
1655557200,-142.9909757424,-132.8714742396,-94.8386961264,-32.0124863775,-22.766877212399997,-23.7254312604,-353.517759,-240.48107859990003,-22.19169375,-21.0412119996,-184.2408050799,-405.80729777910005
1655560800,-139.8240295311,-135.6626456319,-96.2644465884,-32.2997559591,-22.766877212399997,-23.7254312604,-356.8333655664,-244.96376559509997,-22.766877212399997,-21.0412119996,-187.0148985564,-418.19766111
1655564400,-135.6626456319,-138.78387652709998,-97.9750313724,-32.9221405596,-22.4792902656,-23.7254312604,-359.04300444,-248.3241732831,-22.766877212399997,-21.0412119996,-187.72002903990003,-423.99749757989997
1655568000,-131.8304616384,-141.9512145276,-99.7327734375,-33.20937984,-22.4792902656,-23.7254312604,-360.88390236,-250.5636795711,-22.766877212399997,-21.0412119996,-189.08311172759997,-428.0137674375
1655571600,-127.9965337311,-144.3613735119,-101.49015162239999,-33.5444802399,-22.4792902656,-23.3899494375,-362.724375,-251.3100455775,-22.4792902656,-21.0412119996,-189.78806678310002,-428.74377717510004
1655575200,-124.5397713084,-146.4401708391,-103.24716592709999,-33.8316987879,-22.19169375,-23.3899494375,-364.8863869239,-250.19047105110002,-22.4792902656,-20.75356764,-189.78806678310002,-426.5535438279
1655578800,-121.3658797431,-147.8572376151,-105.0038163516,-34.166775,-21.9040876656,-23.3899494375,-367.0937930775,-247.9508626959,-22.19169375,-20.75356764,-189.78806678310002,-422.5365254775
1655582400,-118.61736829590001,-148.8962678799,-106.04813869440001,-34.4539728156,-21.9040876656,-23.3899494375,-369.3005868279,-244.59030190709998,-22.19169375,-20.465913711600003,-189.4590951996,-418.9285851996
1655586000,-116.1524254311,-149.22684144,-107.4245488599,-34.789024839899994,-21.9040876656,-23.1023832231,-370.7714424375,-241.6019799999,-22.19169375,-20.465913711600003,-189.08311172759997,-413.81068763160005
1655589600,-113.73418719,-149.22684144,-108.4685729751,-35.12406384,-21.9040876656,-23.1023832231,-372.56367971160006,-238.6125693759,-22.19169375,-20.465913711600003,-188.7541122351,-409.46700032309997
1655593200,-111.5998734375,-149.22684144,-109.51246844309999,-35.7941027676,-21.6164720124,-23.1023832231,-373.66639401239996,-235.94920892759998,-22.19169375,-20.465913711600003,-188.4250997184,-405.80729777910005
1655596800,-109.51246844309999,-148.8962678799,-110.55623526389999,-36.08124636,-21.6164720124,-23.3899494375,-374.4014518236,-233.33173311,-22.19169375,-20.465913711600003,-188.0490694656,-403.2444938319
1655600400,-107.75675230559999,-148.1878521084,-111.26782070040001,-36.7512108636,-21.6164720124,-23.1023832231,-374.4014518236,-231.0875189724,-22.19169375,-20.465913711600003,-187.72002903990003,-401.0471412975
1655604000,-106.04813869440001,-147.8572376151,-111.5998734375,-37.0861735791,-21.6164720124,-23.1023832231,-374.4014518236,-229.2168727164,-22.19169375,-20.465913711600003,-187.0148985564,-399.2613414336
1655607600,-105.0038163516,-147.47937653190002,-112.31137116,-37.7560599375,-21.6164720124,-22.766877212399997,-374.4014518236,-227.2990189431,-22.19169375,-20.465913711600003,-187.0148985564,-398.16218672639997
1655611200,-103.57953310559999,-146.81807870309999,-113.0228090775,-38.378050622399996,-21.6164720124,-23.1023832231,-374.0339314236,-225.80184700709998,-22.19169375,-20.465913711600003,-186.6858171975,-397.4293318656
1655614800,-102.2024985759,-146.1094875036,-113.73418719,-39.0478365084,-21.6164720124,-23.1023832231,-373.29883959,-225.0531589719,-22.19169375,-20.465913711600003,-186.30970826790002,-397.0628789184
1655618400,-101.1577025775,-145.7315477436,-114.0661431759,-40.0045831164,-21.9040876656,-23.1023832231,-372.9312681564,-224.3044028919,-22.19169375,-20.75356764,-186.30970826790002,-398.16218672639997
1655622000,-100.44526791,-145.7315477436,-114.3980861376,-41.0090526279,-21.9040876656,-23.1023832231,-373.29883959,-225.4275114951,-22.4792902656,-21.0412119996,-187.0148985564,-401.0471412975
1655625600,-99.7327734375,-146.1094875036,-115.4412506556,-42.6350880759,-22.19169375,-23.3899494375,-374.7689552124,-229.2168727164,-22.4792902656,-21.0412119996,-187.72002903990003,-408.0033234399
1655629200,-99.4002555504,-147.1487341296,-116.1524254311,-43.9739453775,-22.19169375,-23.3899494375,-376.97361831,-235.94920892759998,-22.4792902656,-21.0412119996,-188.4250997184,-412.71356151
1655632800,-99.7327734375,-148.8962678799,-116.8635404016,-45.5994205191,-22.19169375,-23.3899494375,-380.2794647004,-245.7106419375,-22.766877212399997,-21.3288467904,-190.4929620336,-433.07680856160005
1655636400,-100.7777448639,-150.9739424679,-118.2381930975,-47.2723827996,-22.19169375,-23.7254312604,-385.0062660975,-255.78681267509998,-22.766877212399997,-21.3288467904,-192.23144795189998,-447.2450042439
1655640000,-102.8673017751,-154.41985839,-114.0661431759,-49.2317244975,-22.19169375,-23.3899494375,-390.1428887439,-264.3138644796,-22.4792902656,-21.3288467904,-193.9225985031,-458.79738418709996
1655643600,-105.6684,-158.9493176796,-121.3658797431,-51.5250201999,-22.19169375,-23.3899494375,-397.79576780160005,-270.9708842919,-22.4792902656,-21.3288467904,-195.33162748709998,-466.42890632309997
1655647200,-108.80073548760001,-162.76914356790002,-123.1187733504,-53.8177034991,-22.19169375,-23.1023832231,-404.3429404479,-275.0648102775,-22.766877212399997,-21.0412119996,-196.3647633711,-470.7410298816
1655650800,-111.5998734375,-165.2204583351,-125.2028218224,-55.7755521984,-22.19169375,-23.1023832231,-408.3692681775,-277.2504956784,-22.766877212399997,-21.3288467904,-197.0691004416,-473.28178944
1655654400,-114.3980861376,-167.29408638389998,-126.95491882709999,-57.7329540879,-21.9040876656,-23.1023832231,-409.46700032309997,-277.9944248304,-22.766877212399997,-21.3288467904,-197.72642775,-473.28178944
1655658000,-116.8635404016,-168.6605144304,-128.7066519516,-59.7853589616,-21.9040876656,-23.1023832231,-407.2713829311,-277.2504956784,-22.4792902656,-21.3288467904,-198.4306491975,-471.46704624
1655661600,-118.94913264,-169.69696590360002,-130.4580211959,-61.550988375900005,-21.6164720124,-22.766877212399997,-402.5121110319,-275.0648102775,-22.766877212399997,-21.3288467904,-198.1020199644,-468.1994367744
1655665200,-120.3234461751,-169.03742076,-131.4992033775,-62.982312663900004,-21.6164720124,-22.766877212399997,-397.0628789184,-272.83201490790003,-22.4792902656,-21.3288467904,-197.72642775,-462.43237796309995
1655668800,-121.0342102896,-167.9537692119,-132.5402569119,-64.3656987504,-21.6164720124,-22.766877212399997,-390.1428887439,-269.8540017879,-22.4792902656,-21.0412119996,-196.6934614464,-457.38836679
1655672400,-121.7449145991,-166.5872255424,-133.5811817991,-65.4150149436,-21.3288467904,-22.766877212399997,-383.1709499775,-267.2473472199,-22.19169375,-21.3288467904,-195.66036649560002,-452.65947476760005
1655676000,-122.0765561436,-164.8433797671,-134.29082955360002,-66.13038404310001,-21.3288467904,-22.766877212399997,-376.6062169884,-264.3138644796,-22.4792902656,-21.0412119996,-194.95590981509997,-448.6558591164
1655679600,-122.0765561436,-163.4763273564,-134.6219780391,-66.7980079119,-21.3288467904,-22.766877212399997,-369.3005868279,-261.7054386204,-22.19169375,-21.0412119996,-193.5937906524,-444.69571569510003
1655683200,-121.7449145991,-161.40175199639998,-134.9531135004,-67.5132613884,-21.3288467904,-22.766877212399997,-362.724375,-259.46898159,-22.19169375,-21.0412119996,-192.56030976,-441.4168341831
1655686800,-121.3658797431,-159.6568244151,-135.3315380796,-68.2284550599,-21.3288467904,-22.766877212399997,-356.0966831856,-257.23191215639997,-22.4792902656,-21.0412119996,-191.52670022040002,-438.5466825456
1655690400,-121.0342102896,-157.91153295360002,-135.6626456319,-68.56219164,-21.3288467904,-22.766877212399997,-349.8782164311,-255.4138423119,-22.4792902656,-21.0412119996,-190.1170253424,-436.3591922544
1655694000,-120.3234461751,-156.16587761190002,-135.6626456319,-68.9435889264,-21.3288467904,-22.766877212399997,-345.4532484375,-253.9217907471,-22.4792902656,-21.0412119996,-189.08311172759997,-434.53581587040003
1655697600,-119.6600123775,-154.41985839,-135.99374016,-69.2772975975,-21.3288467904,-22.766877212399997,-338.11900676759996,-252.0563435391,-22.4792902656,-21.0412119996,-188.0490694656,-433.07680856160005
1655701200,-119.2808839599,-153.05110246709998,-136.3721179584,-69.61099324439999,-21.6164720124,-22.766877212399997,-333.3643077999,-250.93687107990002,-22.4792902656,-21.0412119996,-187.0148985564,-432.34720284
1655704800,-118.61736829590001,-151.3044341616,-136.3721179584,-69.99234375,-21.6164720124,-22.766877212399997,-328.5605856351,-250.19047105110002,-22.4792902656,-21.0412119996,-186.30970826790002,-432.7120142064
1655708400,-118.2381930975,-149.9351694975,-136.7031845775,-71.04096992640001,-21.6164720124,-23.1023832231,-324.1700577216,-250.5636795711,-22.766877212399997,-21.3288467904,-185.980599,-434.17108956
1655712000,-117.90640084440001,-148.8962678799,-137.0815304799,-72.0894674556,-21.6164720124,-23.1023832231,-321.5808332544,-252.4294670031,-22.766877212399997,-21.6164720124,-185.6514767079,-439.5946379511
1655715600,-117.90640084440001,-149.22684144,-138.1218939975,-73.8525595431,-21.9040876656,-23.1023832231,-319.36083456,-259.46898159,-23.1023832231,-21.9040876656,-185.980599,-449.74795842839995
1655719200,-119.2808839599,-151.3044341616,-138.78387652709998,-76.2821711004,-21.9040876656,-23.1023832231,-320.1009021696,-266.1765154716,-23.1023832231,-21.6164720124,-187.39097559,-462.43237796309995
1655722800,-121.0342102896,-154.7974068924,-140.2022350911,-78.3777510396,-21.9040876656,-23.1023832231,-323.06049216,-277.2504956784,-23.1023832231,-21.9040876656,-189.08311172759997,-476.5472554944
1655726400,-123.4977295296,-158.61912740309998,-141.9512145276,-80.47281639,-21.9040876656,-23.1023832231,-327.8212962879,-284.68672518240004,-23.1023832231,-21.9040876656,-191.52670022040002,-488.5541160879
1655730000,-127.28635570559999,-163.4763273564,-143.6525749884,-83.28130093109999,-21.9040876656,-23.1023832231,-334.79563033560004,-291.6984256599,-22.4792902656,-21.3288467904,-193.5937906524,-499.7738171775
1655733600,-130.78932039,-168.3307074375,-146.1094875036,-85.7558083431,-21.9040876656,-23.1023832231,-342.1790400636,-296.8488570396,-22.766877212399997,-21.6164720124,-195.66036649560002,-508.4036531136
1655737200,-134.6219780391,-172.14624889560002,-148.1878521084,-88.1820309504,-21.9040876656,-23.1023832231,-349.1408918775,-300.1879263036,-22.766877212399997,-21.6164720124,-197.72642775,-514.00107804
1655740800,-137.74359487590002,-175.25391920639998,-150.64343775,-90.2746870896,-21.9040876656,-23.1023832231,-352.0897818231,-301.30064319,-22.766877212399997,-21.6164720124,-199.13481084,-517.3846337775
1655744400,-141.24221266709998,-178.36043169240003,-153.05110246709998,-92.4143713311,-21.9040876656,-23.1023832231,-359.77941464160006,-302.7840275484,-22.766877212399997,-21.3288467904,-199.7919744156,-517.7454581439
1655748000,-144.3613735119,-180.80717151,-155.1277478775,-93.79299375,-21.9040876656,-23.1023832231,-362.724375,-301.30064319,-22.766877212399997,-21.6164720124,-200.49602043509998,-515.5351419036
1655751600,-147.47937653190002,-182.5006472796,-156.8736195804,-94.8386961264,-21.9040876656,-23.1023832231,-363.78245419589996,-299.0750563164,-22.766877212399997,-21.3288467904,-199.7919744156,-510.2548668399
1655755200,-150.2657021244,-183.20616051509998,-158.61912740309998,-95.5516012599,-21.9040876656,-23.1023832231,-363.78245419589996,-296.4777642876,-22.766877212399997,-21.3288467904,-199.46339913990002,-506.9133272799
1655758800,-152.7206796156,-183.5824097871,-159.9869737584,-95.8842698556,-21.9040876656,-23.1023832231,-361.9882369776,-294.2972508231,-22.766877212399997,-21.3288467904,-198.4306491975,-500.5423108764
1655762400,-154.7974068924,-183.20616051509998,-161.02450119,-95.5516012599,-21.9040876656,-23.1023832231,-359.4112180464,-292.0697374311,-22.766877212399997,-21.3288467904,-197.72642775,-496.4277143631
1655766000,-156.5433474375,-182.8769284476,-161.7318324975,-95.5516012599,-21.9040876656,-23.3899494375,-356.8333655664,-289.4701977975,-22.766877212399997,-21.3288467904,-197.0691004416,-494.52792743910004
1655769600,-157.58130174389999,-181.8421143024,-162.0618999744,-95.5516012599,-21.9040876656,-23.3899494375,-353.517759,-287.6128734375,-22.4792902656,-21.0412119996,-194.95590981509997,-489.27846109589996
1655773200,-158.61912740309998,-180.80717151,-162.76914356790002,-95.21891964,-21.9040876656,-23.3899494375,-350.2468531911,-285.7551237975,-22.766877212399997,-21.3288467904,-194.62714289759998,-487.78442496
1655776800,-159.6568244151,-179.7721000704,-163.0991701116,-94.8386961264,-21.9040876656,-23.3899494375,-347.66603863589995,-283.9434084336,-22.766877212399997,-21.3288467904,-192.56030976,-484.0254181479
1655780400,-160.3642713456,-178.7368999836,-163.0991701116,-94.5059865975,-22.19169375,-23.3899494375,-344.34662368709996,-282.4565708016,-22.4792902656,-21.6164720124,-192.23144795189998,-483.25527516
1655784000,-160.6943927799,-177.6545077959,-163.0991701116,-94.12573118790002,-22.19169375,-23.3899494375,-341.4410052924,-280.9694609904,-22.4792902656,-21.3288467904,-190.1170253424,-480.6271503804
1655787600,-160.6943927799,-176.2895520156,-163.0991701116,-93.79299375,-22.19169375,-23.3899494375,-338.4881857596,-279.482079,-22.4792902656,-21.3288467904,-188.4250997184,-478.7687985951
1655791200,-161.40175199639998,-175.5834526911,-163.0991701116,-93.79299375,-22.19169375,-23.3899494375,-335.9035755804,-278.7382859376,-22.4792902656,-21.3288467904,-187.72002903990003,-478.4061412719
1655794800,-161.7318324975,-175.25391920639998,-163.4763273564,-94.12573118790002,-22.4792902656,-23.3899494375,-333.7337058111,-279.1101909744,-22.766877212399997,-21.6164720124,-187.0148985564,-479.1314389071
1655798400,-162.0618999744,-175.25391920639998,-163.4763273564,-95.21891964,-22.4792902656,-23.7254312604,-333.7337058111,-282.0848188656,-22.766877212399997,-21.6164720124,-187.39097559,-484.7954843196
1655802000,-162.76914356790002,-176.99559153509998,-164.5134220656,-96.9297149376,-22.766877212399997,-23.7254312604,-336.2728566396,-287.9843723319,-22.766877212399997,-21.9040876656,-188.7541122351,-496.0206566364
1655805600,-164.8433797671,-181.1364854439,-165.8803048959,-99.02021916,-22.766877212399997,-23.7254312604,-342.1790400636,-296.10665452439997,-22.4792902656,-21.3288467904,-189.78806678310002,-508.04238858239995
1655809200,-168.3307074375,-186.30970826790002,-167.9537692119,-101.8225876431,-22.766877212399997,-23.7254312604,-352.0897818231,-302.7840275484,-22.4792902656,-21.3288467904,-191.52670022040002,-517.3846337775
1655812800,-171.4397987151,-191.52670022040002,-170.4035636031,-103.9118872599,-22.766877212399997,-23.3899494375,-360.14759422559996,-306.0743146959,-22.4792902656,-21.6164720124,-193.5937906524,-522.6149221191
1655816400,-166.5872255424,-176.2895520156,-172.47590517990002,-106.04813869440001,-22.4792902656,-23.3899494375,-364.8863869239,-308.6685255711,-22.4792902656,-21.6164720124,-195.33162748709998,-526.3550884956
1655820000,-153.7591075776,-152.0125867911,-174.54773216790002,-107.75675230559999,-22.19169375,-23.3899494375,-364.1504487831,-310.1505575391,-22.766877212399997,-21.6164720124,-196.6934614464,-528.9676118783999
1655823600,-141.24221266709998,-130.4580211959,-176.6190445671,-109.51246844309999,-22.19169375,-23.3899494375,-357.56997990239995,-312.0027147471,-22.766877212399997,-21.6164720124,-197.72642775,-530.8588809756
1655827200,-130.78932039,-114.7774335744,-179.0662957839,-110.9357549391,-21.9040876656,-23.3899494375,-350.9840756775,-312.3730951551,-22.766877212399997,-21.6164720124,-198.1020199644,-531.57924111
1655830800,-122.0765561436,-102.8673017751,-181.1364854439,-112.31137116,-21.9040876656,-23.3899494375,-343.28596463639997,-311.6323173279,-22.766877212399997,-21.6164720124,-198.4306491975,-530.0934237759
1655834400,-115.10934862709999,-94.12573118790002,-182.8769284476,-112.6433829639,-21.6164720124,-23.3899494375,-335.53427751,-309.7800750639,-22.766877212399997,-21.3288467904,-197.39777060790001,-525.5891794359
1655838000,-109.8920348991,-87.13550991,-184.2408050799,-112.6433829639,-21.6164720124,-23.3899494375,-329.2998069375,-307.92740751990004,-22.4792902656,-21.3288467904,-195.98909247990002,-520.3609260591
1655841600,-105.33611468790001,-81.1869255975,-185.2753209975,-112.31137116,-21.6164720124,-23.1023832231,-318.2506055616,-304.2671397276,-22.4792902656,-21.3288467904,-194.2983629559,-514.4071836711
1655845200,-101.1577025775,-76.66322391,-185.6514767079,-111.26782070040001,-21.6164720124,-23.3899494375,-310.5210230031,-302.0423693916,-22.4792902656,-21.3288467904,-192.56030976,-510.2548668399
1655848800,-97.64244464309999,-72.4230533271,-185.6514767079,-110.55623526389999,-21.6164720124,-23.3899494375,-302.7840275484,-299.81698665240003,-22.4792902656,-21.3288467904,-190.4929620336,-504.6547062999
1655852400,-94.5059865975,-68.9435889264,-185.980599,-109.8920348991,-21.6164720124,-23.3899494375,-295.36438396439996,-297.21993278040003,-22.4792902656,-21.3288467904,-188.0490694656,-500.5423108764
1655856000,-92.03402235989999,-65.7488612991,-185.2753209975,-108.80073548760001,-21.3288467904,-23.1023832231,-287.6128734375,-294.6684435159,-22.4792902656,-21.0412119996,-185.6514767079,-496.0206566364
1655859600,-89.2284233436,-62.982312663900004,-184.9461707964,-108.1363974384,-21.3288467904,-22.766877212399997,-280.9694609904,-292.4410321911,-22.19169375,-21.3288467904,-183.20616051509998,-492.2656649991
